id,title,authors,year,venue,doi,url,search_strings
63,A Comprehensive Evaluation of Parameter-Efficient Fine-Tuning on Code Smell Detection,Beiqi Zhang | Peng Liang | Xin Zhou | Xiyu Zhou | David Lo | Qiong Feng | Zengyang Li | Lin Li,2024,ArXiv.org,10.48550/arxiv.2412.13801,https://openalex.org/W4405626655,String 1
64,Automated Test Case Generation for Software APIs Using Reinforcement Learning,Nan Wang,2025,NORMA,,https://openalex.org/W7148200136,String 1
65,REST API Fuzzing Using API Dependencies and Large Language Models,Chien-Hung Liu | Shu-Ling Chen | K. C. Li,2026,,10.3390/engproc2025120042,https://openalex.org/W7127569313,String 1
66,Multi-Agent LLM-based Metamorphic Testing for REST APIs,Shehroz Khan | Abdullah Mughees | Gaadha Sudheerbabu | Tanwir Ahmad | Dragos Truscan,2026,ArXiv.org,,https://openalex.org/W7162817974,"String 1, String 2"
67,LRASGen: LLM-based RESTful API Specification Generation,Sida Deng | Rubing Huang | Man Zhang | Chenhui Cui | Dave Towey | Rongcun Wang,2026,ACM Transactions on Software Engineering and Methodology,10.1145/3810241,https://openalex.org/W4415067287,String 1
68,Leveraging Artificial Intelligence for Efficient Test Generation in API Contract Testing,Alex Thomas Thomas | Santhalakshmi Selvaraj,2025,International Journal of Research and Review,10.52403/ijrr.20250665,https://openalex.org/W4411902413,String 1
69,Leveraging Large Language Models to Improve REST API Testing,Myeong-Soo Kim | Tyler Stennett | Dhruv Shah | Saurabh Sinha | Alessandro Orso,2023,arXiv (Cornell University),10.48550/arxiv.2312.00894,https://openalex.org/W4389362580,String 1
70,An Intelligent Agent for Automated Test Generation from OpenAPI Specifications,Ricardo F. Vilela | Stevão Alves de Andrade | Eduardo B. F. Santos | Williamson Silva | Pedro Henrique Dias Valle,2025,,10.5753/wbots.2025.15217,https://openalex.org/W4414939948,String 1
71,Adaptive REST API Testing with Reinforcement Learning,Myeong-Soo Kim | Saurabh Sinha | Alessandro Orso,2023,arXiv (Cornell University),10.48550/arxiv.2309.04583,https://openalex.org/W4386644364,String 1
72,Utilizing API Response for Test Refinement,Devika Sondhi | Ananya Sharma | Diptikalyan Saha,2025,ArXiv.org,10.48550/arxiv.2501.18145,https://openalex.org/W4407019460,String 1
73,Detecting and Mitigating Flakiness in REST API Fuzzing,Man Zhang | Chongyang Shen | Andrea Arcuri | Tao Yue,2026,arXiv (Cornell University),,https://openalex.org/W7148177706,"String 1, String 2"
